tconst,titleType,startYear,runtimeMinutes,averageRating,numVotes,Adventure,Animation,Family,Mystery,Horror,Musical,Comedy,Fantasy,Documentary,War,Crime,Film-Noir,Romance,Action,Drama,Thriller,Sci-Fi,Western,History,Biography,title,language
tt0055294,movie,1961,82,3.8,3362,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,La Planète Fantôme,fr
tt0055304,movie,1961,80,7,16825,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,La chambre des tortures,fr
tt0055312,movie,1961,136,7.1,8062,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,Milliardaire pour un jour,fr
tt0055320,movie,1961,93,7.9,6853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,L'emploi,fr
tt0055353,movie,1961,128,8,9768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,A Raisin in the Sun,fr
tt0055382,movie,1961,103,6.4,3036,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,The Roman Spring of Mrs. Stone,fr
tt0055471,movie,1961,124,7.7,22866,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,La fièvre dans le sang,fr
tt0055499,movie,1961,90,7.9,27629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,À travers le miroir,fr
tt0055505,movie,1961,81,7.4,5602,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Hurler de peur,fr
tt0055506,movie,1961,101,7.4,6448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Un goût de miel,fr
tt0055558,movie,1961,109,6.7,7047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,Les deux cavaliers,fr
tt0055571,movie,1961,99,7.3,3979,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,Underworld U.S.A.,fr
tt0055572,movie,1961,84,7.3,19334,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,Une femme est une femme,fr
tt0055597,movie,1961,100,7.7,7402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Victim,fr
tt0055608,movie,1961,105,6,6723,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,Le sous-marin de l'apocalypse,fr
tt0055614,movie,1961,153,7.6,122015,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,West Side Story,fr
tt0055618,movie,1961,99,7.6,3797,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,Le vent garde son secret,fr
tt0055630,movie,1961,110,8.2,132612,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,Le garde du corps,fr
tt0055633,movie,1961,103,6.9,2982,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,Le temps du châtiment,fr
tt0055738,movie,1962,111,6.8,2401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,L'ange de la violence,fr
tt0055774,movie,1961,137,6.9,7115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,Barabbas,fr
tt0055798,movie,1962,147,7.8,19532,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,Le prisonnier d'Alcatraz,fr
tt0055805,movie,1962,205,7,5109,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,Boccaccio '70,fr
tt0055809,movie,1962,115,6.5,2443,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Garçonnière pour 4,fr
tt0055824,movie,1962,106,7.7,32179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,Les nerfs à vif,fr
tt0055830,movie,1962,78,7,28289,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Le Carnaval des Âmes,fr
tt0055831,movie,1962,89,6.1,3247,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,Carry on Cruising,fr
tt0055832,movie,1962,114,6.5,2978,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Cartouche,fr
tt0055871,movie,1962,140,7.5,3025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,Trahison sur commande,fr
tt0055884,movie,1962,101,7.1,3069,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,Les mutinés du Téméraire,fr
tt0055892,movie,1962,95,7.2,3382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,David et Lisa,fr
tt0055895,movie,1962,117,7.8,14176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Days of Wine and Roses,fr
